Part;Value;Device;Package;Description;POPULARITY;SPICEPREFIX
C3;0.1uF;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;14;C
C9;0.1uF;C-EU025-025X050;C025-025X050;CAPACITOR, European symbol;65;C
C10;10uF;CPOL-EUE5-10.5;E5-10,5;POLARIZED CAPACITOR, European symbol;23;C
H1;MOUNT-PAD-ROUND3.3;MOUNT-PAD-ROUND3.3;3,3-PAD;MOUNTING PAD, round;1;
H2;MOUNT-PAD-ROUND3.3;MOUNT-PAD-ROUND3.3;3,3-PAD;MOUNTING PAD, round;1;
H3;MOUNT-PAD-ROUND3.3;MOUNT-PAD-ROUND3.3;3,3-PAD;MOUNTING PAD, round;1;
H4;MOUNT-PAD-ROUND3.3;MOUNT-PAD-ROUND3.3;3,3-PAD;MOUNTING PAD, round;1;
HC-SR04-L;LEFT_Sonic;JST-XH-04-PIN-LONG-PAD;JST-XH-04-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;
HC-SR04-M;Mid_Sonic;JST-XH-04-PIN-LONG-PAD;JST-XH-04-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;
HC-SR04-R;Right_Sonic;JST-XH-04-PIN-LONG-PAD;JST-XH-04-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;
JST-XH1;I2C-BUS;JST-XH-05-PIN-LONG-PAD;JST-XH-05-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;
JST-XH2;I2C-BUS;JST-XH-05-PIN-LONG-PAD;JST-XH-05-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;
R4;10k;R-EU_0204/7;0204/7;RESISTOR, European symbol;79;R
RESET;;SWITCH_PUSHBUTTONEVQ-PE;TACT_PANA-EVQ;Buttons;;
U$3;ATTINY84DIP;ATTINY84DIP;ATTINY84(DIP);;;
