Part;Value;Device;Package;Description;CATEGORY;MANUFACTURER;MPN;OPERATING_TEMP;PART_STATUS;POPULARITY;PROD_ID;ROHS_COMPLIANT;SERIES;SF_ID;SPICEPREFIX;SUB-CATEGORY;THERMALLOSS;TYPE;VOLTAGE_RATING
BOOT;;SWITCH_PUSHBUTTONEVQ-PE;TACT_PANA-EVQ;Buttons;;;;;;;;;;;;;;;
BUTTONS;Control Buttons;JST-XH-05-PIN-LONG-PAD;JST-XH-05-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;;;;;;;;;;;;;;
C3;0.1uF;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;;;;;;14;;;;;C;;;;
C4;0.1uF;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;;;;;;14;;;;;C;;;;
C6;10uF;C-POL_RADIAL-11MM-DIA;CAPPRD508W65D1000H1100B;Capacitor Polarised - Generic;Capacitor;;;;;;;;;;;;;;
C7;TBD;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;;;;;;14;;;;;C;;;;
C8;TBD;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;;;;;;14;;;;;C;;;;
C23;0.1uF;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;;;;;;14;;;;;C;;;;
H1;MOUNT-PAD-ROUND3.3;MOUNT-PAD-ROUND3.3;3,3-PAD;MOUNTING PAD, round;;;;;;1;;;;;;;;;
H2;MOUNT-PAD-ROUND3.3;MOUNT-PAD-ROUND3.3;3,3-PAD;MOUNTING PAD, round;;;;;;1;;;;;;;;;
H3;MOUNT-PAD-ROUND3.3;MOUNT-PAD-ROUND3.3;3,3-PAD;MOUNTING PAD, round;;;;;;1;;;;;;;;;
H4;MOUNT-PAD-ROUND3.3;MOUNT-PAD-ROUND3.3;3,3-PAD;MOUNTING PAD, round;;;;;;1;;;;;;;;;
J1;USB_B_PTH;USB_B_PTH;USB-B-PTH;USB Type B Connector;;;;;;;CONN-08278;;;PRT-00139;;;;;
JP2;;PINHD-1X2;1X02;PIN HEADER;;;;;;98;;;;;;;;;
JP3;;PINHD-1X55X2MM;1_05X2MM;PIN HEADER;;;;;;0;;;;;;;;;
JP4;;PINHD-1X8;1X08;PIN HEADER;;;;;;67;;;;;;;;;
JP5;;PINHD-1X4;1X04;PIN HEADER;;;;;;91;;;;;;;;;
JST-XH2;I2C-BUS;JST-XH-05-PIN-LONG-PAD;JST-XH-05-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;;;;;;;;;;;;;;
JST-XH3;I2C-BUS;JST-XH-05-PIN-LONG-PAD;JST-XH-05-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;;;;;;;;;;;;;;
R1;2k2;R-EU_0204/5;0204/5;RESISTOR, European symbol;;;;;;35;;;;;R;;;;
R2;2k2;R-EU_0204/5;0204/5;RESISTOR, European symbol;;;;;;35;;;;;R;;;;
R3;10k;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;79;;;;;R;;;;
R6;10k;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;79;;;;;R;;;;
RESET;;SWITCH_PUSHBUTTONEVQ-PE;TACT_PANA-EVQ;Buttons;;;;;;;;;;;;;;;
SPI;SPI-Header;JST-XH-07-PIN-LONG-PAD;JST-XH-07-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;;;;;;;;;;;;;;
U$1;ESP32-S3-WROOM-1;ESP32-S3-WROOM-1;ESP32-S3-WROOM-1;;;;;;;;;;;;;;;;
UART1;UART;JST-XH-05-PIN-ROUND-PAD;JST-XH-05-PACKAGE-ROUND-PAD;JST XH Connector 2 Pin;;;;;;;;;;;;;;;
