Part;Value;Device;Package;Description;ARROW_PART_NUMBER;ARROW_PRICE-STOCK;DESCRIPTION;HEIGHT;MANUFACTURER_NAME;MANUFACTURER_PART_NUMBER;MOUSER2_PART_NUMBER;MOUSER2_PRICE-STOCK;MOUSER_PART_NUMBER;MOUSER_PRICE-STOCK;POPULARITY;SPICEPREFIX
BAT-IN;1747993;1747993;1747993;PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Gold, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTBVA 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.9 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard;;;PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Gold, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTBVA 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.9 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard;12.15mm;Phoenix Contact;1747993;;;651-1747993;https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1747993?qs=cq3Rj917t3li0%2FrJTXaRgg%3D%3D;;
BAT-OUT1;1747993;1747993;1747993;PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Gold, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTBVA 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.9 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard;;;PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Gold, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTBVA 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.9 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard;12.15mm;Phoenix Contact;1747993;;;651-1747993;https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1747993?qs=cq3Rj917t3li0%2FrJTXaRgg%3D%3D;;
BAT-OUT2;1747993;1747993;1747993;PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Gold, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTBVA 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.9 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard;;;PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Gold, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTBVA 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.9 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard;12.15mm;Phoenix Contact;1747993;;;651-1747993;https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1747993?qs=cq3Rj917t3li0%2FrJTXaRgg%3D%3D;;
C1;0.1uF;C-EU025-025X050;C025-025X050;CAPACITOR, European symbol;;;;;;;;;;;65;C
C2;10uF;CPOL-EUE5-10.5;E5-10,5;POLARIZED CAPACITOR, European symbol;;;;;;;;;;;23;C
C3;0.1uF;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;;;;;;;;;;;14;C
C4;0.1uF;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;;;;;;;;;;;14;C
C5;0.1uF;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;;;;;;;;;;;14;C
C6;0.1uF;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;;;;;;;;;;;14;C
C7;10uF;CPOL-EUE5-10.5;E5-10,5;POLARIZED CAPACITOR, European symbol;;;;;;;;;;;23;C
